name,category,top,psf1,psf2,notes,link
BEDOK COURT,,1/12/2020,0,1019,some notes,https://share.ecoprop.com/BEDOK-COURT/R065963D
BELMOND GREEN,,1/12/2020,0,2290,some notes,https://share.ecoprop.com/BELMOND-GREEN/R065963D
BISHAN PARK CONDOMINIUM,,1/12/2020,0,1226,some notes,https://share.ecoprop.com/BISHAN-PARK-CONDOMINIUM/R065963D
BISHAN POINT,,1/12/2020,1410,1383,some notes,https://share.ecoprop.com/BISHAN-POINT/R065963D
BLISS@KOVAN,,1/12/2020,0,1516,some notes,https://share.ecoprop.com/BLISS@KOVAN/R065963D
BLOSSOMS @ WOODLEIGH,,1/12/2020,0,1804,some notes,https://share.ecoprop.com/BLOSSOMS-WOODLEIGH/R065963D
BLUE HORIZON,,1/12/2020,1370,1276,some notes,https://share.ecoprop.com/BLUE-HORIZON/R065963D
BLUWATERS 2,,1/12/2020,0,1017,some notes,https://share.ecoprop.com/BLUWATERS-2/R065963D
BOATHOUSE RESIDENCES,,1/12/2020,1268,1284,some notes,https://share.ecoprop.com/BOATHOUSE-RESIDENCES/R065963D
BOTANIQUE AT BARTLEY,,1/12/2020,1703,1709,some notes,https://share.ecoprop.com/BOTANIQUE-AT-BARTLEY/R065963D
BULLION PARK,,1/12/2020,0,1333,some notes,https://share.ecoprop.com/BULLION-PARK/R065963D
CANBERRA RESIDENCES,,1/12/2020,0,1062,some notes,https://share.ecoprop.com/CANBERRA-RESIDENCES/R065963D
CAPE ROYALE,,1/12/2020,0,2237,some notes,https://share.ecoprop.com/CAPE-ROYALE/R065963D
CARABELLE,,1/12/2020,1603,1637,some notes,https://share.ecoprop.com/CARABELLE/R065963D
CARDIFF RESIDENCE,,1/12/2020,1475,0,some notes,https://share.ecoprop.com/CARDIFF-RESIDENCE/R065963D
CARIBBEAN AT KEPPEL BAY,,1/12/2020,1861,1822,some notes,https://share.ecoprop.com/CARIBBEAN-AT-KEPPEL-BAY/R065963D
CARISSA PARK CONDOMINIUM,,1/12/2020,1043,1118,some notes,https://share.ecoprop.com/CARISSA-PARK-CONDOMINIUM/R065963D
CASABELLA,,1/12/2020,0,2059,some notes,https://share.ecoprop.com/CASABELLA/R065963D
CASABLANCA,,1/12/2020,1032,974,some notes,https://share.ecoprop.com/CASABLANCA/R065963D
CASAFINA,,1/12/2020,0,1144,some notes,https://share.ecoprop.com/CASAFINA/R065963D
CASCADALE,,1/12/2020,0,1086,some notes,https://share.ecoprop.com/CASCADALE/R065963D
CASHEW HEIGHTS CONDOMINIUM,,1/12/2020,0,1440,some notes,https://share.ecoprop.com/CASHEW-HEIGHTS-CONDOMINIUM/R065963D
CASPIAN,,1/12/2020,1519,1385,some notes,https://share.ecoprop.com/CASPIAN/R065963D
CASTLE GREEN,,1/12/2020,0,1182,some notes,https://share.ecoprop.com/CASTLE-GREEN/R065963D
CASUARINA COVE,,1/12/2020,0,1530,some notes,https://share.ecoprop.com/CASUARINA-COVE/R065963D
CAVENDISH PARK,,1/12/2020,0,1600,some notes,https://share.ecoprop.com/CAVENDISH-PARK/R065963D
CENTRAL VIEW,,1/12/2020,1200,0,some notes,https://share.ecoprop.com/CENTRAL-VIEW/R065963D
CENTRO RESIDENCES,,1/12/2020,0,1658,some notes,https://share.ecoprop.com/CENTRO-RESIDENCES/R065963D
CHANGI COURT,,1/12/2020,0,1226,some notes,https://share.ecoprop.com/CHANGI-COURT/R065963D
CHANGI RISE CONDOMINIUM,,1/12/2020,0,1045,some notes,https://share.ecoprop.com/CHANGI-RISE-CONDOMINIUM/R065963D
CHANTILLY RISE,,1/12/2020,0,1318,some notes,https://share.ecoprop.com/CHANTILLY-RISE/R065963D
CHAPEL LODGE,,1/12/2020,0,1492,some notes,https://share.ecoprop.com/CHAPEL-LODGE/R065963D
CHERRYHILL,,1/12/2020,0,1435,some notes,https://share.ecoprop.com/CHERRYHILL/R065963D
CHILTERN PARK,,1/12/2020,0,1175,some notes,https://share.ecoprop.com/CHILTERN-PARK/R065963D
CITY SQUARE RESIDENCES,,1/12/2020,0,1921,some notes,https://share.ecoprop.com/CITY-SQUARE-RESIDENCES/R065963D
CITYLIGHTS,,1/12/2020,1804,0,some notes,https://share.ecoprop.com/CITYLIGHTS/R065963D
CLIVEDEN AT GRANGE,,1/12/2020,0,2850,some notes,https://share.ecoprop.com/CLIVEDEN-AT-GRANGE/R065963D
CLOVER BY THE PARK,,1/12/2020,0,1727,some notes,https://share.ecoprop.com/CLOVER-BY-THE-PARK/R065963D
CLUNY PARK RESIDENCE,,1/12/2020,0,2713,some notes,https://share.ecoprop.com/CLUNY-PARK-RESIDENCE/R065963D
COCO PALMS,,1/12/2020,1530,0,some notes,https://share.ecoprop.com/COCO-PALMS/R065963D
COMMONWEALTH TOWERS,,1/12/2020,2047,0,some notes,https://share.ecoprop.com/COMMONWEALTH-TOWERS/R065963D
CORALS AT KEPPEL BAY,,1/12/2020,0,2542,some notes,https://share.ecoprop.com/CORALS-AT-KEPPEL-BAY/R065963D
COSTA DEL SOL,,1/12/2020,1689,1661,some notes,https://share.ecoprop.com/COSTA-DEL-SOL/R065963D
COSTA RHU,,1/12/2020,0,1726,some notes,https://share.ecoprop.com/COSTA-RHU/R065963D
COTE D'AZUR,,1/12/2020,0,1797,some notes,https://share.ecoprop.com/COTE-D'AZUR/R065963D
CUSCADEN RESIDENCES,,1/12/2020,0,2529,some notes,https://share.ecoprop.com/CUSCADEN-RESIDENCES/R065963D
CYAN,,1/12/2020,0,3119,some notes,https://share.ecoprop.com/CYAN/R065963D
D'LEEDON,,1/12/2020,1850,1869,some notes,https://share.ecoprop.com/D'LEEDON/R065963D
D'NEST,,1/12/2020,1401,1199,some notes,https://share.ecoprop.com/D'NEST/R065963D
DAHLIA PARK CONDOMINIUM,,1/12/2020,0,1107,some notes,https://share.ecoprop.com/DAHLIA-PARK-CONDOMINIUM/R065963D
DAINTREE RESIDENCE,,1/12/2020,2038,0,some notes,https://share.ecoprop.com/DAINTREE-RESIDENCE/R065963D
DAKOTA RESIDENCES,,1/12/2020,0,1698,some notes,https://share.ecoprop.com/DAKOTA-RESIDENCES/R065963D
DALVEY HAUS,,1/12/2020,0,3732,some notes,https://share.ecoprop.com/DALVEY-HAUS/R065963D
DOMAIN 21,,1/12/2020,0,1678,some notes,https://share.ecoprop.com/DOMAIN-21/R065963D
DOUBLE BAY RESIDENCES,,1/12/2020,1281,1315,some notes,https://share.ecoprop.com/DOUBLE-BAY-RESIDENCES/R065963D
DOVER PARKVIEW,,1/12/2020,1309,0,some notes,https://share.ecoprop.com/DOVER-PARKVIEW/R065963D
DUNMAN VIEW,,1/12/2020,0,1430,some notes,https://share.ecoprop.com/DUNMAN-VIEW/R065963D
EAST MEADOWS,,1/12/2020,0,1200,some notes,https://share.ecoprop.com/EAST-MEADOWS/R065963D
EASTERN LAGOON,,1/12/2020,1772,0,some notes,https://share.ecoprop.com/EASTERN-LAGOON/R065963D
EASTPOINT GREEN,,1/12/2020,1054,970,some notes,https://share.ecoprop.com/EASTPOINT-GREEN/R065963D
ECHELON,,1/12/2020,2278,1986,some notes,https://share.ecoprop.com/ECHELON/R065963D
ECO,,1/12/2020,1493,0,some notes,https://share.ecoprop.com/ECO/R065963D
ECO SANCTUARY,,1/12/2020,1582,0,some notes,https://share.ecoprop.com/ECO-SANCTUARY/R065963D
